survey_year,geoid,state_fips,county_fips,county_name,region,division,units_1_units_est,units_2_units_est,units_3_4_units_est,units_5plus_units_est,multi_family_units_est,total_units_est,total_value_est,multi_family_share,single_family_share
2025,04013,04,013,Maricopa County,4,8,17244,932,171,13304,14407,31651,8516645698,0.4551830905816562,0.5448169094183438
2025,48201,48,201,Harris County,3,7,16940,2224,8,11737,13969,30909,7651942703,0.45193956452813094,0.548060435471869
2025,06037,06,037,Los Angeles County,4,9,10106,1276,235,10633,12144,22250,4573893701,0.5457977528089888,0.4542022471910112
2025,48085,48,085,Collin County,3,7,11136,394,14,7538,7946,19082,4745418498,0.41641337386018235,0.5835866261398176
2025,12086,12,086,Miami-Dade County,3,5,2666,318,259,13292,13869,16535,4730017820,0.8387662534018748,0.1612337465981252
2025,48453,48,453,Travis County,3,7,4727,478,74,9780,10332,15059,2803234791,0.6861013347499834,0.3138986652500166
2025,32003,32,003,Clark County,4,8,9422,420,84,4540,5044,14466,3078603082,0.3486796626572653,0.6513203373427346
2025,48439,48,439,Tarrant County,3,7,8658,294,308,4664,5266,13924,3510575098,0.37819592071243896,0.6218040792875611
2025,37183,37,183,Wake County,3,5,8392,226,4,5184,5414,13806,3454293198,0.39214834130088366,0.6078516586991163
2025,48339,48,339,Montgomery County,3,7,11597,76,60,1881,2017,13614,3653894402,0.14815630968121052,0.8518436903187895
2025,12071,12,071,Lee County,3,5,9962,172,28,3385,3585,13547,3763847470,0.2646342363622942,0.7353657636377058
2025,12095,12,095,Orange County,3,5,4221,36,16,8867,8919,13140,3142987936,0.6787671232876712,0.32123287671232875
2025,48113,48,113,Dallas County,3,7,4651,76,100,7864,8040,12691,2789467299,0.6335198171932865,0.3664801828067134
2025,48157,48,157,Fort Bend County,3,7,9638,82,0,2767,2849,12487,3255582827,0.2281572835749179,0.7718427164250821
2025,06073,06,073,San Diego County,4,9,3506,628,262,7311,8201,11707,2505520300,0.700521055778594,0.299478944221406
2025,12081,12,081,Manatee County,3,5,7014,200,156,3645,4001,11015,2430613733,0.36323195642305944,0.6367680435769405
2025,39049,39,049,Franklin County,2,3,1829,218,279,8168,8665,10494,1781981036,0.8257099294835144,0.17429007051648562
2025,48121,48,121,Denton County,3,7,6357,354,87,3412,3853,10210,2612089365,0.3773751224289912,0.6226248775710088
2025,06065,06,065,Riverside County,4,9,6399,124,108,3066,3298,9697,2704556553,0.34010518717129007,0.6598948128287099
2025,13121,13,121,Fulton County,3,5,2344,156,242,6918,7316,9660,1873347856,0.7573498964803312,0.24265010351966873
2025,12057,12,057,Hillsborough County,3,5,4295,44,0,4357,4401,8696,2316507837,0.5060947562097516,0.4939052437902484
2025,53033,53,033,King County,4,9,2510,714,179,5102,5995,8505,2451903324,0.7048794826572604,0.2951205173427396
2025,12105,12,105,Polk County,3,5,6725,160,15,1336,1511,8236,2263404195,0.18346284604176785,0.8165371539582321
2025,04021,04,021,Pinal County,4,8,6511,34,7,1496,1537,8048,1542978155,0.19097912524850894,0.8090208747514911
2025,12101,12,101,Pasco County,3,5,6191,8,124,1555,1687,7878,2161005859,0.21414064483371414,0.7858593551662859
2025,37119,37,119,Mecklenburg County,3,5,3747,76,22,3651,3749,7496,1492166236,0.5001334044823906,0.49986659551760937
2025,12097,12,097,Osceola County,3,5,5085,2,24,2255,2281,7366,1733067362,0.3096660331251697,0.6903339668748303
2025,48215,48,215,Hidalgo County,3,7,4523,560,1648,570,2778,7301,1454999148,0.38049582249006986,0.6195041775099301
2025,49049,49,049,Utah County,4,8,5324,22,169,1687,1878,7202,2102511859,0.26076089975006944,0.7392391002499306
2025,49035,49,035,Salt Lake County,4,8,2576,68,101,4434,4603,7179,1987390933,0.6411756512049032,0.35882434879509684
2025,36047,36,047,Kings County,1,2,25,76,170,6573,6819,6844,1186054508,0.9963471654003506,0.003652834599649328
2025,40109,40,109,Oklahoma County,3,7,4945,474,170,1214,1858,6803,1678903897,0.273114802293106,0.726885197706894
2025,55025,55,025,Dane County,2,3,1437,172,28,4992,5192,6629,1583235332,0.7832252225071655,0.21677477749283453
2025,12115,12,115,Sarasota County,3,5,4283,68,64,2212,2344,6627,2460456591,0.35370454202504903,0.6462954579749509
2025,06067,06,067,Sacramento County,4,9,4629,120,13,1799,1932,6561,1768162629,0.29446730681298583,0.7055326931870142
2025,45051,45,051,Horry County,3,5,6418,0,16,77,93,6511,1405885507,0.014283520196590386,0.9857164798034096
2025,48029,48,029,Bexar County,3,7,4589,0,31,1713,1744,6333,1694197323,0.2753829148902574,0.7246170851097427
2025,05007,05,007,Benton County,3,7,4023,332,8,1944,2284,6307,1660988606,0.36213730775329,0.63786269224671
2025,06071,06,071,San Bernardino County,4,9,3578,202,111,2349,2662,6240,1394694800,0.4266025641025641,0.5733974358974359
2025,36005,36,005,Bronx County,1,2,4,42,44,5942,6028,6032,1046728427,0.9993368700265252,6.63129973474801e-4
2025,12031,12,031,Duval County,3,5,3732,32,0,2253,2285,6017,1127086227,0.3797573541632043,0.6202426458367958
2025,12083,12,083,Marion County,3,5,5420,178,8,379,565,5985,1203725227,0.09440267335004177,0.9055973266499582
2025,08041,08,041,El Paso County,4,8,2721,182,0,2804,2986,5707,2065059258,0.5232171018048011,0.47678289819519887
2025,47037,47,037,Davidson County,3,6,2739,6,11,2876,2893,5632,1299307821,0.513671875,0.486328125
2025,12069,12,069,Lake County,3,5,3999,88,8,1247,1343,5342,1492388131,0.2514039685511045,0.7485960314488955
2025,06085,06,085,Santa Clara County,4,9,1795,26,19,3483,3528,5323,1250845806,0.6627841442795416,0.33721585572045837
2025,16001,16,001,Ada County,4,8,4637,32,24,528,584,5221,1545080087,0.11185596628998276,0.8881440337100173
2025,47093,47,093,Knox County,3,6,2566,10,0,2437,2447,5013,1263018384,0.488130859764612,0.511869140235388
2025,06059,06,059,Orange County,4,9,2777,206,117,1892,2215,4992,1366137199,0.4437099358974359,0.5562900641025641
2025,17031,17,031,Cook County,2,3,1191,178,512,3088,3778,4969,1533366236,0.7603139464681022,0.23968605353189776
2025,48491,48,491,Williamson County,3,7,3945,8,7,996,1011,4956,1423236600,0.20399515738498789,0.7960048426150121
2025,45045,45,045,Greenville County,3,5,4222,32,0,693,725,4947,2036109599,0.14655346674752376,0.8534465332524762
2025,37063,37,063,Durham County,3,5,2790,20,64,1898,1982,4772,1437353070,0.41533948030176027,0.5846605196982397
2025,12109,12,109,St. Johns County,3,5,3554,122,20,1039,1181,4735,1199866774,0.2494192185850053,0.7505807814149947
2025,19153,19,153,Polk County,2,4,2306,110,4,2310,2424,4730,1349464314,0.5124735729386892,0.4875264270613108
2025,08031,08,031,Denver County,4,8,1027,0,12,3688,3700,4727,1036098370,0.7827374656230167,0.21726253437698329
2025,04019,04,019,Pima County,4,8,3592,48,0,1018,1066,4658,1525811094,0.22885358522971233,0.7711464147702877
2025,12009,12,009,Brevard County,3,5,3376,2,16,1230,1248,4624,1643978879,0.2698961937716263,0.7301038062283737
2025,48209,48,209,Hays County,3,7,4153,0,6,436,442,4595,1353625142,0.09619151251360174,0.9038084874863983
2025,37019,37,019,Brunswick County,3,5,4454,0,3,0,3,4457,1258101331,6.730984967466906e-4,0.9993269015032533
2025,13051,13,051,Chatham County,3,5,2666,16,16,1728,1760,4426,902106569,0.39765024853140535,0.6023497514685947
2025,12099,12,099,Palm Beach County,3,5,2495,118,112,1503,1733,4228,1667470580,0.4098864711447493,0.5901135288552507
2025,12103,12,103,Pinellas County,3,5,1376,94,25,2703,2822,4198,1114793634,0.672224868985231,0.32777513101476896
2025,18057,18,057,Hamilton County,2,3,2934,54,16,1142,1212,4146,1393539713,0.29232995658465993,0.7076700434153401
2025,01089,01,089,Madison County,3,6,2866,6,72,1126,1204,4070,967032530,0.29582309582309585,0.7041769041769042
2025,29095,29,095,Jackson County,2,4,1299,98,213,2426,2737,4036,863462728,0.6781466798810704,0.32185332011892964
2025,12111,12,111,St. Lucie County,3,5,3468,32,66,442,540,4008,1162670787,0.1347305389221557,0.8652694610778443
2025,45083,45,083,Spartanburg County,3,5,3986,0,0,0,0,3986,831731629,0,1
2025,18157,18,157,Tippecanoe County,2,3,553,8,23,3395,3426,3979,830049604,0.8610203568735864,0.13897964312641367
2025,31055,31,055,Douglas County,2,4,1744,96,52,2071,2219,3963,531203429,0.559929346454706,0.44007065354529395
2025,13135,13,135,Gwinnett County,3,5,2950,20,8,968,996,3946,1138713404,0.2524075012671059,0.747592498732894
2025,16027,16,027,Canyon County,4,8,3045,134,60,690,884,3929,777189840,0.2249936370577755,0.7750063629422245
2025,26163,26,163,Wayne County,2,3,1210,446,152,2114,2712,3922,605208792,0.6914839367669556,0.30851606323304437
2025,10005,10,005,Sussex County,3,5,3264,128,0,493,621,3885,509113854,0.15984555984555984,0.8401544401544402
2025,53053,53,053,Pierce County,4,9,1717,118,182,1765,2065,3782,919110739,0.5460074034902168,0.4539925965097832
2025,48139,48,139,Ellis County,3,7,3230,66,33,349,448,3678,924674120,0.12180532898314302,0.878194671016857
2025,34013,34,013,Essex County,1,2,317,196,202,2942,3340,3657,571283907,0.9133169264424391,0.08668307355756084
2025,08005,08,005,Arapahoe County,4,8,1735,2,30,1832,1864,3599,807990482,0.5179216449013615,0.4820783550986385
2025,12119,12,119,Sumter County,3,5,3105,186,0,225,411,3516,790254871,0.11689419795221843,0.8831058020477816
2025,27053,27,053,Hennepin County,2,4,1523,36,128,1804,1968,3491,1222676581,0.5637353193927241,0.43626468060727586
2025,36081,36,081,Queens County,1,2,52,282,69,2992,3343,3395,603641085,0.9846833578792342,0.015316642120765831
2025,45019,45,019,Charleston County,3,5,2401,36,113,842,991,3392,1046190249,0.29215801886792453,0.7078419811320755
2025,45079,45,079,Richland County,3,5,2336,38,144,864,1046,3382,598081183,0.309284447072738,0.6907155529272619
2025,53061,53,061,Snohomish County,4,9,1909,54,77,1332,1463,3372,993387779,0.43386714116251485,0.5661328588374852
2025,42101,42,101,Philadelphia County,1,2,656,148,383,2179,2710,3366,541508244,0.8051099227569816,0.1948900772430184
2025,34017,34,017,Hudson County,1,2,248,118,70,2916,3104,3352,593173004,0.9260143198090692,0.07398568019093078
2025,12001,12,001,Alachua County,3,5,689,10,8,2629,2647,3336,597512240,0.7934652278177458,0.2065347721822542
2025,06061,06,061,Placer County,4,9,2462,208,20,564,792,3254,1045235039,0.24339274738783037,0.7566072526121697
2025,53011,53,011,Clark County,4,9,2190,30,16,1014,1060,3250,1299482305,0.3261538461538461,0.6738461538461539
2025,20091,20,091,Johnson County,2,4,2055,10,27,1145,1182,3237,1154483486,0.36515291936978683,0.6348470806302131
2025,42003,42,003,Allegheny County,1,2,1260,2,7,1922,1931,3191,635715922,0.6051394547163899,0.39486054528361014
2025,40143,40,143,Tulsa County,3,7,2153,94,4,933,1031,3184,718481589,0.3238065326633166,0.6761934673366834
2025,47149,47,149,Rutherford County,3,6,2533,0,0,636,636,3169,787797810,0.20069422530766803,0.799305774692332
2025,06029,06,029,Kern County,4,9,2793,228,13,125,366,3159,699427376,0.11585944919278253,0.8841405508072174
2025,47165,47,165,Sumner County,3,6,1571,46,4,1424,1474,3045,775059436,0.48407224958949097,0.515927750410509
2025,12015,12,015,Charlotte County,3,5,2571,132,98,214,444,3015,898468798,0.1472636815920398,0.8527363184079602
2025,37101,37,101,Johnston County,3,5,2633,4,7,358,369,3002,849470513,0.1229180546302465,0.8770819453697535
2025,21111,21,111,Jefferson County,3,6,1126,34,24,1817,1875,3001,650726385,0.6247917360879707,0.3752082639120293
2025,08123,08,123,Weld County,4,8,2011,0,0,982,982,2993,933320616,0.32809889742733045,0.6719011025726696
2025,36061,36,061,New York County,1,2,1,2,0,2981,2983,2984,527365858,0.9996648793565683,3.351206434316354e-4
2025,53063,53,063,Spokane County,4,9,1375,80,96,1425,1601,2976,699237334,0.5379704301075269,0.4620295698924731
2025,34003,34,003,Bergen County,1,2,1405,144,103,1318,1565,2970,545288565,0.5269360269360269,0.4730639730639731
2025,37081,37,081,Guilford County,3,5,1738,14,0,1124,1138,2876,746857624,0.3956884561891516,0.6043115438108484
2025,37067,37,067,Forsyth County,3,5,2863,0,0,12,12,2875,793327909,0.0041739130434782605,0.9958260869565217
2025,51059,51,059,Fairfax County,3,5,740,0,0,2122,2122,2862,490387800,0.7414395527603075,0.2585604472396925
2025,48303,48,303,Lubbock County,3,7,2035,10,24,789,823,2858,756233143,0.287963610916725,0.712036389083275
2025,49053,49,053,Washington County,4,8,2497,10,24,326,360,2857,656018061,0.12600630031501575,0.8739936996849843
2025,48027,48,027,Bell County,3,7,2170,280,3,386,669,2839,712854766,0.2356463543501233,0.7643536456498767
2025,34029,34,029,Ocean County,1,2,2372,46,35,378,459,2831,638530854,0.16213352172377252,0.8378664782762275
2025,12127,12,127,Volusia County,3,5,2079,24,175,548,747,2826,903342204,0.2643312101910828,0.7356687898089171
2025,48039,48,039,Brazoria County,3,7,2789,8,3,0,11,2800,987389111,0.003928571428571429,0.9960714285714286
2025,06001,06,001,Alameda County,4,9,1117,40,17,1604,1661,2778,828595616,0.5979121670266379,0.40208783297336215
2025,20173,20,173,Sedgwick County,2,4,1256,1298,69,134,1501,2757,657105945,0.5444323540079797,0.4555676459920203
2025,35000,35,000,New Mexico Balance of State,4,8,2752,0,0,0,0,2752,428238901,0,1
2025,09190,09,190,Western Connecticut Planning R,1,1,421,16,29,2283,2328,2749,953909739,0.8468534012368134,0.15314659876318662
2025,12021,12,021,Collier County,3,5,1945,8,59,724,791,2736,1464941317,0.2891081871345029,0.7108918128654971
2025,47125,47,125,Montgomery County,3,6,1635,28,59,1001,1088,2723,502387736,0.3995593095850165,0.6004406904149835
2025,37179,37,179,Union County,3,5,2387,0,0,320,320,2707,635013646,0.11821204285186554,0.8817879571481345
2025,48061,48,061,Cameron County,3,7,1838,140,37,687,864,2702,460008371,0.31976313841598814,0.6802368615840119
2025,12011,12,011,Broward County,3,5,712,64,10,1904,1978,2690,715131958,0.7353159851301115,0.26468401486988846
2025,51760,51,760,Richmond (Independent City),3,5,368,44,17,2252,2313,2681,395140509,0.8627377844088027,0.1372622155911973
2025,01003,01,003,Baldwin County,3,6,2517,12,4,132,148,2665,869612674,0.05553470919324578,0.9444652908067542
2025,45091,45,091,York County,3,5,1949,6,27,664,697,2646,816340257,0.263416477702192,0.736583522297808
2025,05143,05,143,Washington County,3,7,1621,24,9,978,1011,2632,784461194,0.3841185410334346,0.6158814589665653
2025,22033,22,033,East Baton Rouge Parish,3,7,1420,2,4,1205,1211,2631,458366615,0.4602812618776131,0.5397187381223869
2025,08001,08,001,Adams County,4,8,1884,132,4,588,724,2608,741815149,0.2776073619631902,0.7223926380368099
2025,12035,12,035,Flagler County,3,5,1950,118,0,518,636,2586,895685065,0.2459396751740139,0.7540603248259861
2025,41017,41,017,Deschutes County,4,9,1166,134,31,1243,1408,2574,691584647,0.5470085470085471,0.452991452991453
2025,32031,32,031,Washoe County,4,8,1656,36,26,813,875,2531,633230892,0.34571315685499804,0.654286843145002
2025,48167,48,167,Galveston County,3,7,2521,4,0,0,4,2525,701915781,0.0015841584158415843,0.9984158415841584
2025,06077,06,077,San Joaquin County,4,9,2520,2,0,0,2,2522,1021988958,7.930214115781126e-4,0.9992069785884219
2025,08069,08,069,Larimer County,4,8,985,10,74,1367,1451,2436,617873922,0.5956486042692939,0.40435139573070605
2025,12131,12,131,Walton County,3,5,1427,18,0,954,972,2399,1159056347,0.40516882034180907,0.5948311796581909
2025,08035,08,035,Douglas County,4,8,1465,6,46,881,933,2398,836906985,0.3890742285237698,0.6109257714762302
2025,26081,26,081,Kent County,2,3,1242,56,21,1079,1156,2398,781380324,0.48206839032527105,0.517931609674729
2025,01073,01,073,Jefferson County,3,6,1592,20,3,776,799,2391,743856632,0.3341698034295274,0.6658301965704726
2025,27163,27,163,Washington County,2,4,1225,0,4,1153,1157,2382,717138630,0.48572628043660787,0.5142737195633921
2025,48251,48,251,Johnson County,3,7,1952,12,0,392,404,2356,622968467,0.17147707979626486,0.8285229202037352
2025,31109,31,109,Lancaster County,2,4,970,0,12,1364,1376,2346,519946453,0.5865302642796248,0.4134697357203751
2025,37071,37,071,Gaston County,3,5,2153,16,0,174,190,2343,876777398,0.08109261630388391,0.9189073836961161
2025,25017,25,017,Middlesex County,1,1,862,82,25,1372,1479,2341,890561204,0.6317812900469885,0.36821870995301154
2025,25025,25,025,Suffolk County,1,1,231,14,15,2078,2107,2338,791340292,0.9011976047904192,0.09880239520958084
2025,37129,37,129,New Hanover County,3,5,1208,46,61,1017,1124,2332,560697748,0.48198970840480276,0.5180102915951973
2025,27037,27,037,Dakota County,2,4,1378,2,4,946,952,2330,591415383,0.40858369098712444,0.5914163090128756
2025,48041,48,041,Brazos County,3,7,1687,64,124,455,643,2330,470750384,0.2759656652360515,0.7240343347639485
2025,51087,51,087,Henrico County,3,5,809,244,0,1270,1514,2323,297034798,0.6517434352130865,0.34825656478691347
2025,45015,45,015,Berkeley County,3,5,1802,2,0,495,497,2299,651639753,0.2161809482383645,0.7838190517616355
2025,28047,28,047,Harrison County,3,6,1909,34,0,351,385,2294,271927165,0.16782911944202267,0.8321708805579773
2025,06019,06,019,Fresno County,4,9,2002,24,40,205,269,2271,734321246,0.11845002201673271,0.8815499779832673
2025,48021,48,021,Bastrop County,3,7,1546,186,0,537,723,2269,561680970,0.31864257382106653,0.6813574261789335
2025,42091,42,091,Montgomery County,1,2,1223,0,15,993,1008,2231,649039593,0.45181532944867775,0.5481846705513223
2025,06081,06,081,San Mateo County,4,9,457,48,3,1708,1759,2216,850964322,0.7937725631768953,0.20622743682310468
2025,37085,37,085,Harnett County,3,5,2195,10,0,0,10,2205,722252777,0.0045351473922902496,0.9954648526077098
2025,51041,51,041,Chesterfield County,3,5,1576,0,0,618,618,2194,450626099,0.28167730173199634,0.7183226982680037
2025,34025,34,025,Monmouth County,1,2,1481,14,30,613,657,2138,596618873,0.30729653882132835,0.6927034611786717
2025,12017,12,017,Citrus County,3,5,2082,14,0,6,20,2102,514893490,0.009514747859181731,0.9904852521408183
2025,24033,24,033,Prince George County,3,5,1530,332,0,228,560,2090,616187650,0.2679425837320574,0.7320574162679426
2025,12005,12,005,Bay County,3,5,1685,26,17,344,387,2072,676952263,0.18677606177606176,0.8132239382239382
2025,48141,48,141,El Paso County,3,7,1790,74,44,142,260,2050,457335440,0.12682926829268293,0.8731707317073171
2025,12073,12,073,Leon County,3,5,617,34,12,1384,1430,2047,436607402,0.6985832926233513,0.3014167073766488
2025,46099,46,099,Minnehaha County,2,4,966,8,44,1026,1078,2044,419639334,0.5273972602739726,0.4726027397260274
2025,37021,37,021,Buncombe County,3,5,992,18,0,1018,1036,2028,687427681,0.5108481262327417,0.4891518737672584
2025,37001,37,001,Alamance County,3,5,1674,30,4,319,353,2027,343664689,0.17414898865318204,0.8258510113468179
2025,26125,26,125,Oakland County,2,3,1730,0,57,236,293,2023,806647292,0.14483440434997527,0.8551655956500247
2025,39041,39,041,Delaware County,2,3,1637,8,30,341,379,2016,857692034,0.18799603174603174,0.8120039682539683
2025,45063,45,063,Lexington County,3,5,2004,2,0,0,2,2006,725928195,9.970089730807576e-4,0.9990029910269193
2025,08013,08,013,Boulder County,4,8,428,24,15,1534,1573,2001,569586058,0.7861069465267366,0.21389305347326337
2025,12117,12,117,Seminole County,3,5,893,6,4,1094,1104,1997,546915807,0.5528292438657987,0.4471707561342013
2025,13139,13,139,Hall County,3,5,1892,0,18,86,104,1996,642767636,0.052104208416833664,0.9478957915831663
2025,17197,17,197,Will County,2,3,1797,8,8,180,196,1993,593069270,0.09834420471650777,0.9016557952834923
2025,37025,37,025,Cabarrus County,3,5,1358,2,0,631,633,1991,299870155,0.31793068809643393,0.682069311903566
2025,47189,47,189,Wilson County,3,6,1723,0,0,259,259,1982,557845171,0.1306760847628658,0.8693239152371343
2025,12053,12,053,Hernando County,3,5,1734,82,3,156,241,1975,528051338,0.1220253164556962,0.8779746835443037
2025,45003,45,003,Aiken County,3,5,1634,2,0,323,325,1959,610186488,0.16590096988259315,0.8340990301174068
2025,37035,37,035,Catawba County,3,5,1353,150,7,434,591,1944,389618139,0.30401234567901236,0.6959876543209876
2025,26099,26,099,Macomb County,2,3,1046,4,32,849,885,1931,576063345,0.4583117555670637,0.5416882444329363
2025,12113,12,113,Santa Rosa County,3,5,1929,0,0,0,0,1929,456026759,0,1
2025,49011,49,011,Davis County,4,8,841,8,72,996,1076,1917,489625762,0.5612936880542514,0.43870631194574855
2025,39035,39,035,Cuyahoga County,2,3,756,12,11,1117,1140,1896,530175336,0.6012658227848101,0.3987341772151899
2025,47065,47,065,Hamilton County,3,6,1705,114,44,24,182,1887,462003472,0.09644939056703762,0.9035506094329624
2025,41067,41,067,Washington County,4,9,1646,6,22,212,240,1886,661013063,0.12725344644750794,0.8727465535524921
2025,48181,48,181,Grayson County,3,7,1175,10,0,696,706,1881,449705060,0.3753322700691122,0.6246677299308878
2025,33015,33,015,Rockingham County,1,1,1073,34,58,711,803,1876,525158410,0.42803837953091683,0.5719616204690832
2025,45053,45,053,Jasper County,3,5,1246,0,0,612,612,1858,401438962,0.3293864370290635,0.6706135629709364
2025,24003,24,003,Anne Arundel County,3,5,873,0,0,971,971,1844,413185180,0.5265726681127982,0.4734273318872017
2025,37097,37,097,Iredell County,3,5,1447,8,0,380,388,1835,389482277,0.2114441416893733,0.7885558583106267
2025,13157,13,157,Jackson County,3,5,1816,0,0,11,11,1827,626754605,0.0060207991242474,0.9939792008757526
2025,04015,04,015,Mohave County,4,8,1706,44,3,64,111,1817,373894999,0.06108970831040176,0.9389102916895983
2025,06107,06,107,Tulare County,4,9,1567,84,9,130,223,1790,473582417,0.12458100558659217,0.8754189944134079
2025,13067,13,067,Cobb County,3,5,988,0,6,793,799,1787,600256946,0.4471180749860101,0.5528819250139899
2025,53035,53,035,Kitsap County,4,9,631,8,13,1128,1149,1780,496145226,0.645505617977528,0.3544943820224719
2025,23005,23,005,Cumberland County,1,1,881,96,18,761,875,1756,572325867,0.4982915717539863,0.5017084282460137
