survey_year,geoid,state_fips,county_fips,county_name,region,division,units_1_units_est,units_2_units_est,units_3_4_units_est,units_5plus_units_est,multi_family_units_est,total_units_est,total_value_est,multi_family_share,single_family_share,county_label
2025,04013,04,013,Maricopa County,4,8,17244,932,171,13304,14407,31651,8516645698,0.4551830905816562,0.5448169094183438,Maricopa County (04)
2025,48201,48,201,Harris County,3,7,16940,2224,8,11737,13969,30909,7651942703,0.45193956452813094,0.548060435471869,Harris County (48)
2025,06037,06,037,Los Angeles County,4,9,10106,1276,235,10633,12144,22250,4573893701,0.5457977528089888,0.4542022471910112,Los Angeles County (06)
2025,48085,48,085,Collin County,3,7,11136,394,14,7538,7946,19082,4745418498,0.41641337386018235,0.5835866261398176,Collin County (48)
2025,12086,12,086,Miami-Dade County,3,5,2666,318,259,13292,13869,16535,4730017820,0.8387662534018748,0.1612337465981252,Miami-Dade County (12)
2025,48453,48,453,Travis County,3,7,4727,478,74,9780,10332,15059,2803234791,0.6861013347499834,0.3138986652500166,Travis County (48)
2025,32003,32,003,Clark County,4,8,9422,420,84,4540,5044,14466,3078603082,0.3486796626572653,0.6513203373427346,Clark County (32)
2025,48439,48,439,Tarrant County,3,7,8658,294,308,4664,5266,13924,3510575098,0.37819592071243896,0.6218040792875611,Tarrant County (48)
2025,37183,37,183,Wake County,3,5,8392,226,4,5184,5414,13806,3454293198,0.39214834130088366,0.6078516586991163,Wake County (37)
2025,48339,48,339,Montgomery County,3,7,11597,76,60,1881,2017,13614,3653894402,0.14815630968121052,0.8518436903187895,Montgomery County (48)
2025,12071,12,071,Lee County,3,5,9962,172,28,3385,3585,13547,3763847470,0.2646342363622942,0.7353657636377058,Lee County (12)
2025,12095,12,095,Orange County,3,5,4221,36,16,8867,8919,13140,3142987936,0.6787671232876712,0.32123287671232875,Orange County (12)
2025,48113,48,113,Dallas County,3,7,4651,76,100,7864,8040,12691,2789467299,0.6335198171932865,0.3664801828067134,Dallas County (48)
2025,48157,48,157,Fort Bend County,3,7,9638,82,0,2767,2849,12487,3255582827,0.2281572835749179,0.7718427164250821,Fort Bend County (48)
2025,06073,06,073,San Diego County,4,9,3506,628,262,7311,8201,11707,2505520300,0.700521055778594,0.299478944221406,San Diego County (06)
