state_abbr,state,county,geoid,county_label,total_population,adult_population,obesity,diabetes,current_smoking,physical_inactivity,poor_mental_health,food_insecurity,obesity_rank,physical_inactivity_rank,rank_gap
GA,Georgia,Coweta,13077,"Coweta, GA",152882,118146,44.4,11.1,13.5,22.2,15.9,10.9,91,1828,1737
MN,Minnesota,Lyon,27083,"Lyon, MN",25262,18614,45.1,11,15.1,22.5,15.9,10.6,56,1789,1733
WI,Wisconsin,Manitowoc,55071,"Manitowoc, WI",81172,64819,43.6,11.5,16.6,22.4,15.4,9.3,136,1805,1669
MN,Minnesota,Carlton,27017,"Carlton, MN",36708,28726,41.3,10.9,15.2,19.4,15.7,9.7,413,2077,1664
WI,Wisconsin,Sheboygan,55117,"Sheboygan, WI",117841,92837,40.9,10.6,14.6,20.3,14.7,9.4,487,2011,1524
WI,Wisconsin,Shawano,55115,"Shawano, WI",40886,32289,45.6,12.3,17.4,24.4,16,11.9,39,1509,1470
WI,Wisconsin,Douglas,55031,"Douglas, WI",44144,35842,40.5,10.7,14.3,20,15.8,10,569,2033,1464
KS,Kansas,Jefferson,20087,"Jefferson, KS",18344,14375,41.7,11.8,14.4,22.4,14.7,7.1,343,1805,1462
VA,Virginia,Chesapeake,51550,"Chesapeake, VA",252488,192359,41.4,13.4,15.2,22,17.4,NA,396,1847,1451
VA,Virginia,Suffolk,51800,"Suffolk, VA",98537,75453,41.8,13.6,13.7,23,17.3,NA,331,1719,1388
VA,Virginia,Southampton,51175,"Southampton, VA",17932,14624,42.6,15.6,14.3,23.8,16.1,NA,229,1603,1374
MN,Minnesota,Meeker,27093,"Meeker, MN",23496,17923,40.6,11.1,14.3,21.4,14.2,10.3,545,1911,1366
VA,Virginia,Hampton,51650,"Hampton, VA",138037,108603,41.6,14.4,14.5,23,18,NA,356,1719,1363
WI,Wisconsin,Calumet,55015,"Calumet, WI",52718,41162,40.4,9.8,15.8,21.2,15.2,8.6,582,1927,1345
MN,Minnesota,Waseca,27161,"Waseca, MN",18893,14645,40.9,10.4,15.3,22.2,16.1,10.9,487,1828,1341
WA,Washington,Lewis,53041,"Lewis, WA",85370,67059,40.5,11.9,15.5,21.5,17.5,13.8,569,1902,1333
MD,Maryland,Charles,24017,"Charles, MD",170102,129891,43.4,13.2,13.8,24.6,16.2,15.7,152,1480,1328
UT,Utah,Tooele,49045,"Tooele, UT",79934,55228,39.3,9.3,10.5,18.7,17.8,12.8,788,2113,1325
WI,Wisconsin,Iowa,55049,"Iowa, WI",23865,18748,39.7,10.5,13.4,20.2,14.5,8.8,714,2018,1304
MN,Minnesota,Beltrami,27007,"Beltrami, MN",46799,35314,39.9,11.5,16.5,20.7,17,13.4,680,1981,1301
WI,Wisconsin,Kenosha,55059,"Kenosha, WI",167817,131730,43,11.6,19.1,24.6,18.4,12.1,183,1480,1297
WI,Wisconsin,Green,55045,"Green, WI",36816,29021,40.4,10.7,16.2,21.7,15.6,9.7,582,1878,1296
OH,Ohio,Auglaize,39011,"Auglaize, OH",45948,35074,42.5,12.5,17.9,24.3,17.5,11.2,242,1526,1284
WI,Wisconsin,Jefferson,55055,"Jefferson, WI",85784,69136,39.7,10,14.3,20.6,15.3,8.1,714,1991,1277
WA,Washington,Benton,53005,"Benton, WA",212791,157815,39.9,10.3,11.7,21.3,17.4,11.1,680,1917,1237
NE,Nebraska,Seward,31159,"Seward, NE",17692,13549,40.5,9.2,11.6,22.4,12.9,12,569,1805,1236
KS,Kansas,Jackson,20085,"Jackson, KS",13286,10001,43.3,13.1,16.4,25.2,16.1,10.8,158,1387,1229
WI,Wisconsin,Fond du Lac,55039,"Fond du Lac, WI",103836,82265,41.6,11,17.2,24.1,16.5,9.8,356,1562,1206
OH,Ohio,Huron,39077,"Huron, OH",58218,44548,41.8,13.9,17.8,24.3,17.7,12.9,331,1526,1195
IN,Indiana,Warrick,18173,"Warrick, IN",65185,50286,40.3,11.3,14.4,22.5,15.2,7.8,599,1789,1190
WI,Wisconsin,Jackson,55053,"Jackson, WI",20836,16396,44.9,12.2,18.8,26.1,16.5,13.2,68,1250,1182
MN,Minnesota,Mille Lacs,27095,"Mille Lacs, MN",27280,20953,43,12.1,19.4,25.4,17.2,10.5,183,1362,1179
MN,Minnesota,Wadena,27159,"Wadena, MN",14307,10540,42.6,12.4,17.7,25.1,16.4,10.9,229,1408,1179
WI,Wisconsin,Chippewa,55017,"Chippewa, WI",66807,52613,40.2,10.4,15.9,22.6,15.8,8.1,619,1772,1153
OK,Oklahoma,Canadian,40017,"Canadian, OK",169149,126161,42.9,11.5,13.7,25.5,17.1,10.7,194,1345,1151
WI,Wisconsin,Richland,55103,"Richland, WI",17090,13561,41.1,12.4,17.2,23.9,15.1,9.7,445,1587,1142
WI,Wisconsin,Outagamie,55087,"Outagamie, WI",192127,148430,39.8,10.1,16.6,22.1,17.2,8.3,702,1839,1137
WI,Wisconsin,Price,55099,"Price, WI",14179,11757,42.1,13.5,17.5,25,15.4,10.1,291,1426,1135
KS,Kansas,Leavenworth,20103,"Leavenworth, KS",82892,63408,40.5,11.2,15.3,23.1,15.5,10,569,1704,1135
WI,Wisconsin,Burnett,55013,"Burnett, WI",17036,14328,42.2,14.3,17.8,25.1,15.1,11.1,277,1408,1131
KS,Kansas,Ellis,20051,"Ellis, KS",28941,23119,38.8,9.5,12.2,20.1,16.6,10.5,894,2024,1130
VA,Virginia,Louisa,51109,"Louisa, VA",40116,32188,39.2,13.6,14.9,21.1,16.6,NA,807,1933,1126
VA,Virginia,Caroline,51033,"Caroline, VA",31957,24802,42.3,14.6,16.6,25.2,17.8,NA,266,1387,1121
OH,Ohio,Miami,39109,"Miami, OH",110247,85193,40.1,13,16.1,22.7,17.8,11.9,640,1758,1118
MO,Missouri,Platte,29165,"Platte, MO",110534,85221,39.9,10.5,14.9,22.6,16.2,7.6,680,1772,1092
WI,Wisconsin,Clark,55019,"Clark, WI",34691,24547,42.9,11.3,18.3,25.9,17.1,13.6,194,1281,1087
OH,Ohio,Putnam,39137,"Putnam, OH",34334,25624,40.1,12.5,15.6,23,17.4,9.7,640,1719,1079
ND,North Dakota,Burleigh,38015,"Burleigh, ND",99280,76281,38.6,9.4,13.1,20.5,13.5,NA,935,2000,1065
VA,Virginia,Portsmouth,51740,"Portsmouth, VA",97029,74842,45,15.4,17,26.9,19.3,NA,62,1125,1063
MN,Minnesota,Isanti,27059,"Isanti, MN",42727,32866,39.1,10.3,16,21.7,15.8,11,826,1878,1052
