state_abbr,state,county,geoid,county_label,total_population,adult_population,obesity,diabetes,current_smoking,physical_inactivity,poor_mental_health,food_insecurity,obesity_rank,current_smoking_rank,rank_gap
GA,Georgia,Coweta,13077,"Coweta, GA",152882,118146,44.4,11.1,13.5,22.2,15.9,10.9,91,1820,1729
MD,Maryland,Charles,24017,"Charles, MD",170102,129891,43.4,13.2,13.8,24.6,16.2,15.7,152,1774,1622
OK,Oklahoma,Canadian,40017,"Canadian, OK",169149,126161,42.9,11.5,13.7,25.5,17.1,10.7,194,1782,1588
TX,Texas,Webb,48479,"Webb, TX",267780,184751,41,15.4,11.9,33,17.7,25.9,465,2028,1563
NE,Nebraska,Seward,31159,"Seward, NE",17692,13549,40.5,9.2,11.6,22.4,12.9,12,569,2056,1487
VA,Virginia,Southampton,51175,"Southampton, VA",17932,14624,42.6,15.6,14.3,23.8,16.1,NA,229,1700,1471
MN,Minnesota,Lyon,27083,"Lyon, MN",25262,18614,45.1,11,15.1,22.5,15.9,10.6,56,1521,1465
VA,Virginia,Suffolk,51800,"Suffolk, VA",98537,75453,41.8,13.6,13.7,23,17.3,NA,331,1782,1451
GA,Georgia,Rockdale,13247,"Rockdale, GA",94984,72552,45.1,15.4,15.3,29.4,16.6,21.9,56,1480,1424
WA,Washington,Grant,53025,"Grant, WA",101311,72653,41.4,11.8,13.5,27,18.5,15.2,396,1820,1424
GA,Georgia,Douglas,13097,"Douglas, GA",147316,110299,43.3,13.7,14.9,27,17.1,19.9,158,1569,1411
WA,Washington,Benton,53005,"Benton, WA",212791,157815,39.9,10.3,11.7,21.3,17.4,11.1,680,2050,1370
UT,Utah,Tooele,49045,"Tooele, UT",79934,55228,39.3,9.3,10.5,18.7,17.8,12.8,788,2141,1353
KS,Kansas,Jefferson,20087,"Jefferson, KS",18344,14375,41.7,11.8,14.4,22.4,14.7,7.1,343,1675,1332
VA,Virginia,Hampton,51650,"Hampton, VA",138037,108603,41.6,14.4,14.5,23,18,NA,356,1657,1301
TX,Texas,Guadalupe,48187,"Guadalupe, TX",182760,139105,39.6,13.2,12,24.7,16.7,16.7,735,2022,1287
AZ,Arizona,Yuma,04027,"Yuma, AZ",207842,155973,40.5,15.5,13.3,31.3,17.5,19.1,569,1855,1286
GA,Georgia,Liberty,13179,"Liberty, GA",68030,49403,44.1,11.6,15.7,26.7,19.9,19.6,110,1394,1284
NE,Nebraska,Scotts Bluff,31157,"Scotts Bluff, NE",35603,26966,41.3,13,14.4,25.8,14.3,15.5,413,1675,1262
ID,Idaho,Bingham,16011,"Bingham, ID",49923,35421,41,10.8,14.2,25.9,16.7,15,465,1720,1255
TX,Texas,San Patricio,48409,"San Patricio, TX",69954,51851,43.1,15.7,15.6,31.9,18.2,22.9,171,1417,1246
IA,Iowa,Mahaska,19123,"Mahaska, IA",21946,16814,42.2,11.6,15.1,26.6,15,11.9,277,1521,1244
TX,Texas,Brazoria,48039,"Brazoria, TX",388181,289273,40.1,13.2,13.2,25.6,16.5,14.9,640,1880,1240
TX,Texas,Wilson,48493,"Wilson, TX",52735,40499,42.5,14.6,15.3,29.1,17.1,16.2,242,1480,1238
TX,Texas,Cameron,48061,"Cameron, TX",425208,303786,46.4,20.5,16.4,41.2,19.8,34.2,22,1219,1197
KS,Kansas,Seward,20175,"Seward, KS",21358,14775,44.7,14,16.2,34.1,17.5,24.1,76,1266,1190
MS,Mississippi,Bolivar,28011,"Bolivar, MS",29370,22209,45.2,17.6,16.3,33.1,16.2,32.4,54,1241,1187
TX,Texas,Atascosa,48013,"Atascosa, TX",50864,37238,42.8,15.9,15.7,34.1,17.6,24,210,1394,1184
MS,Mississippi,Forrest,28035,"Forrest, MS",78110,60593,41.7,13.1,15.1,29.4,17.4,19.7,343,1521,1178
OK,Oklahoma,Wagoner,40145,"Wagoner, OK",86644,66500,43.6,12.2,16,28.4,18.1,12.8,136,1312,1176
TX,Texas,Hidalgo,48215,"Hidalgo, TX",888367,614711,46.8,18.5,16.5,39,20.4,38.5,17,1188,1171
GA,Georgia,Henry,13151,"Henry, GA",248364,186764,39.6,12.8,13,23.9,16.3,16.8,735,1903,1168
TX,Texas,Galveston,48167,"Galveston, TX",357117,273457,40.2,13.1,13.7,24.5,16.3,14.2,619,1782,1163
MD,Maryland,Washington,24043,"Washington, MD",155590,122115,42.2,12.9,15.5,27.5,17.6,17,277,1437,1160
MN,Minnesota,Meeker,27093,"Meeker, MN",23496,17923,40.6,11.1,14.3,21.4,14.2,10.3,545,1700,1155
