stateabbr,statedesc,countyname,countyfips,totalpopulation,totalpop18plus,obesity_crudeprev,diabetes_crudeprev,csmoking_crudeprev,lpa_crudeprev,mhlth_crudeprev,foodinsecu_crudeprev
IL,Illinois,Hamilton,17065,7984,6181,37.4,13.3,17.3,25.8,17.2,NA
NY,New York,Seneca,36099,32882,26182,37.5,11.3,15.8,27,16.8,NA
OK,Oklahoma,Haskell,40061,11641,8933,43.4,16.5,22.6,35.6,20.9,19
IL,Illinois,Lake,17097,709150,546991,31.8,11.9,12.9,21.8,15.1,NA
KS,Kansas,Atchison,20005,16108,12602,38.5,11.9,15.9,25.2,17,11.8
AK,Alaska,Anchorage,02020,287145,219637,29.6,8,13.4,19.7,14.8,11.6
OK,Oklahoma,Seminole,40133,23351,17739,42.2,16,21.1,36,20.4,23.3
WV,West Virginia,Mercer,54055,58700,46324,42,15.9,19.1,31.3,20.9,15.8
MN,Minnesota,Blue Earth,27013,69631,56029,38.9,9.3,16.7,24.7,20.4,10.1
NE,Nebraska,Buffalo,31019,50586,39327,41.6,10.5,16.3,26.7,16.5,14.3
KY,Kentucky,Graves,21083,36412,27683,40.5,14.7,19.7,30.1,17.8,17.2
VA,Virginia,Accomack,51001,33191,26541,43.3,17.8,19.1,30.4,18.1,NA
TX,Texas,Hemphill,48211,3217,2330,36,13.2,15.8,26.9,17.1,16.3
MO,Missouri,Shelby,29205,5982,4515,41.2,14.7,21.8,31.1,18.4,16.4
MO,Missouri,Carroll,29033,8423,6583,38.5,13.1,20.2,29.2,17.8,13
TN,Tennessee,Dyer,47045,36410,27775,41.2,15.1,24,33.2,21.5,20.6
IA,Iowa,Chickasaw,19037,11716,9018,37.4,12.1,15.7,26.4,14,8
MN,Minnesota,Faribault,27043,13926,10880,37.2,12.2,14.2,22.5,14.5,10
NE,Nebraska,Nance,31125,3326,2543,40.5,12.8,16.8,28.8,14.5,11.1
OH,Ohio,Mahoning,39099,225636,180235,39.2,15.4,19.8,28.6,18.9,15.7
