geoid,county_label,adult_population,measure,prevalence,measure_rank,county_rank_label
28051,"Holmes, MS",12171,Obesity,52.2,1,"01. Holmes, MS"
05107,"Phillips, AR",11406,Obesity,50.7,2,"02. Phillips, AR"
01047,"Dallas, AL",28171,Obesity,50.2,3,"03. Dallas, AL"
39105,"Meigs, OH",17454,Obesity,49,4,"04. Meigs, OH"
45061,"Lee, SC",13080,Obesity,48.6,5,"05. Lee, SC"
22097,"St. Landry, LA",60183,Obesity,48.1,6,"06. St. Landry, LA"
13021,"Bibb, GA",118426,Obesity,48.1,7,"07. Bibb, GA"
28027,"Coahoma, MS",14716,Obesity,47.8,8,"08. Coahoma, MS"
54047,"McDowell, WV",14234,Diabetes,22.8,1,"01. McDowell, WV"
05107,"Phillips, AR",11406,Diabetes,22.2,2,"02. Phillips, AR"
28051,"Holmes, MS",12171,Diabetes,21.7,3,"03. Holmes, MS"
28027,"Coahoma, MS",14716,Diabetes,21.7,4,"04. Coahoma, MS"
22027,"Claiborne, LA",11123,Diabetes,21.5,5,"05. Claiborne, LA"
01047,"Dallas, AL",28171,Diabetes,21.4,6,"06. Dallas, AL"
28083,"Leflore, MS",19181,Diabetes,20.6,7,"07. Leflore, MS"
48427,"Starr, TX",44564,Diabetes,20.5,8,"08. Starr, TX"
02050,"Bethel, AK",11844,Current smoking,33.3,1,"01. Bethel, AK"
35031,"McKinley, NM",50756,Current smoking,30.6,2,"02. McKinley, NM"
54047,"McDowell, WV",14234,Current smoking,27.4,3,"03. McDowell, WV"
45033,"Dillon, SC",20770,Current smoking,27.4,4,"04. Dillon, SC"
54109,"Wyoming, WV",16445,Current smoking,27.2,5,"05. Wyoming, WV"
21095,"Harlan, KY",19587,Current smoking,27.2,6,"06. Harlan, KY"
22027,"Claiborne, LA",11123,Current smoking,27.2,7,"07. Claiborne, LA"
21051,"Clay, KY",15843,Current smoking,27,8,"08. Clay, KY"
05107,"Phillips, AR",11406,Physical inactivity,43.6,1,"01. Phillips, AR"
48427,"Starr, TX",44564,Physical inactivity,43.3,2,"02. Starr, TX"
28083,"Leflore, MS",19181,Physical inactivity,43.2,3,"03. Leflore, MS"
28051,"Holmes, MS",12171,Physical inactivity,42.8,4,"04. Holmes, MS"
28027,"Coahoma, MS",14716,Physical inactivity,42.5,5,"05. Coahoma, MS"
22027,"Claiborne, LA",11123,Physical inactivity,41.8,6,"06. Claiborne, LA"
54047,"McDowell, WV",14234,Physical inactivity,41.7,7,"07. McDowell, WV"
48061,"Cameron, TX",303786,Physical inactivity,41.2,8,"08. Cameron, TX"
