"month","date_of_month","mean_births"
1,1,7826.7619047619
1,2,9356.2380952381
1,3,10869.4761904762
1,4,11064.4761904762
1,5,10991.7142857143
1,6,10941.7142857143
1,7,10963.4761904762
1,8,10655.5238095238
1,9,10672.1904761905
1,10,11072.4285714286
1,11,11019.7142857143
1,12,10976.1428571429
1,13,10657.2857142857
1,14,11016.3333333333
1,15,10589.2380952381
1,16,10669.2857142857
1,17,10954.1904761905
1,18,10926.9047619048
1,19,10732.7142857143
1,20,10863.7142857143
1,21,10866.1904761905
1,22,10718.9523809524
1,23,10912.5238095238
1,24,11096.2380952381
1,25,10995.0952380952
1,26,10875.9047619048
1,27,10857.7142857143
1,28,10874.5238095238
1,29,10611
1,30,10793.7619047619
1,31,10927.2380952381
2,1,10969.7142857143
2,2,10999.2380952381
2,3,10877.7619047619
2,4,10943.5714285714
2,5,10727.4285714286
2,6,10836.9523809524
2,7,11194.1904761905
2,8,11104.0952380952
2,9,10928.619047619
2,10,11051.1904761905
2,11,11053.7619047619
2,12,10945.380952381
2,13,10647.1428571429
2,14,11686.2857142857
2,15,11228.7142857143
2,16,10982.5714285714
2,17,10888.9047619048
2,18,10977.7142857143
2,19,10709.7142857143
2,20,10932.0952380952
2,21,11054
2,22,11150.9523809524
2,23,10962.2857142857
2,24,10939.1904761905
2,25,11016.2857142857
2,26,10770.5714285714
2,27,10898.380952381
2,28,11101.1904761905
2,29,10512.2
3,1,11166.4285714286
3,2,10840.9523809524
3,3,11114.5238095238
3,4,11026.6666666667
3,5,11018.4761904762
3,6,10966.0476190476
3,7,11135.7142857143
3,8,11016.6666666667
3,9,10800.619047619
3,10,10973.5238095238
3,11,10967.0476190476
3,12,11047.6666666667
3,13,10697.2380952381
3,14,11160.380952381
3,15,11053.7619047619
3,16,10805.3333333333
3,17,11176.1904761905
3,18,10990.1428571429
3,19,10954.6666666667
3,20,11058.380952381
3,21,11232.5238095238
3,22,11002.8095238095
3,23,10771.0952380952
3,24,10952
3,25,11009.619047619
3,26,10930.7619047619
3,27,10937.2380952381
3,28,11088.7619047619
3,29,10906.2857142857
3,30,10742.8095238095
3,31,10806.5238095238
4,1,10335.3333333333
4,2,11049.380952381
4,3,10943.9523809524
4,4,11263.619047619
4,5,10934.5714285714
4,6,10669.2857142857
4,7,10889.1904761905
4,8,10924.5238095238
4,9,10873.0476190476
4,10,10871.1428571429
4,11,11105.6666666667
4,12,10994.1428571429
4,13,10416.2380952381
4,14,10843.9523809524
4,15,10919.3333333333
4,16,10950
4,17,10942.0476190476
4,18,11044.8571428571
4,19,10935.7142857143
4,20,10747.3333333333
4,21,10845.6666666667
4,22,10909.5238095238
4,23,10900.6666666667
4,24,10888.6666666667
4,25,11041.8571428571
4,26,10920.8095238095
4,27,10694.4285714286
4,28,10830.9523809524
4,29,10767.0476190476
4,30,10772.4285714286
5,1,11046.1428571429
5,2,11160.1904761905
5,3,10944.380952381
5,4,10746.380952381
5,5,11108.0952380952
5,6,10984.6666666667
5,7,10982.7142857143
5,8,11002.1904761905
5,9,11083.2380952381
5,10,11109.5714285714
5,11,10774.1428571429
5,12,11046.7142857143
5,13,10729.3333333333
5,14,11108.9047619048
5,15,11202.7619047619
5,16,11330.1428571429
5,17,11162.7619047619
5,18,10929.4285714286
5,19,11031.619047619
5,20,11230.7619047619
5,21,11297.5714285714
5,22,11330.0952380952
5,23,11573.8571428571
5,24,11404.2857142857
5,25,10861.4285714286
5,26,10424.9523809524
5,27,10720.4761904762
5,28,10833.380952381
5,29,10823.1904761905
5,30,10943.3333333333
5,31,10757.4285714286
6,1,11197.9523809524
6,2,11384.9523809524
6,3,11290.0476190476
6,4,11261.6666666667
6,5,11207.1428571429
6,6,11294.5238095238
6,7,11198.8095238095
6,8,11058.2380952381
6,9,11113.7142857143
6,10,11256.5714285714
6,11,11201.5238095238
6,12,11246.6666666667
6,13,11083.619047619
6,14,11325.3333333333
6,15,11110.9047619048
6,16,11294.2857142857
6,17,11292.1904761905
6,18,11375.2380952381
6,19,11221.380952381
6,20,11545.4761904762
6,21,11338.3333333333
6,22,11162.5238095238
6,23,11277.9047619048
6,24,11365
