"year","month","date_of_month","day_of_week","births"
1994,1,1,"Sat",8096
1994,1,2,"Sun",7772
1994,1,3,"Mon",10142
1994,1,4,"Tues",11248
1994,1,5,"Wed",11053
1994,1,6,"Thurs",11406
1994,1,7,"Fri",11251
1994,1,8,"Sat",8653
1994,1,9,"Sun",7910
1994,1,10,"Mon",10498
1994,1,11,"Tues",11706
1994,1,12,"Wed",11567
1994,1,13,"Thurs",11212
1994,1,14,"Fri",11570
1994,1,15,"Sat",8660
1994,1,16,"Sun",8123
1994,1,17,"Mon",10567
1994,1,18,"Tues",11541
1994,1,19,"Wed",11257
1994,1,20,"Thurs",11682
1994,1,21,"Fri",11811
1994,1,22,"Sat",8833
1994,1,23,"Sun",8310
1994,1,24,"Mon",11125
1994,1,25,"Tues",11981
1994,1,26,"Wed",11514
1994,1,27,"Thurs",11702
1994,1,28,"Fri",11666
1994,1,29,"Sat",8988
1994,1,30,"Sun",8096
1994,1,31,"Mon",10765
1994,2,1,"Tues",11755
1994,2,2,"Wed",11483
1994,2,3,"Thurs",11523
1994,2,4,"Fri",11677
1994,2,5,"Sat",8991
1994,2,6,"Sun",8309
1994,2,7,"Mon",10984
1994,2,8,"Tues",12152
1994,2,9,"Wed",11515
1994,2,10,"Thurs",11623
1994,2,11,"Fri",11517
1994,2,12,"Sat",8945
1994,2,13,"Sun",8171
1994,2,14,"Mon",11551
1994,2,15,"Tues",12164
1994,2,16,"Wed",12009
1994,2,17,"Thurs",11674
1994,2,18,"Fri",11887
1994,2,19,"Sat",8946
1994,2,20,"Sun",8402
1994,2,21,"Mon",10617
1994,2,22,"Tues",11810
1994,2,23,"Wed",11776
1994,2,24,"Thurs",11667
1994,2,25,"Fri",11905
1994,2,26,"Sat",8988
1994,2,27,"Sun",8195
1994,2,28,"Mon",11091
1994,3,1,"Tues",12127
1994,3,2,"Wed",11735
1994,3,3,"Thurs",11984
1994,3,4,"Fri",12066
1994,3,5,"Sat",9215
1994,3,6,"Sun",8389
1994,3,7,"Mon",10996
1994,3,8,"Tues",12275
1994,3,9,"Wed",11780
1994,3,10,"Thurs",11792
1994,3,11,"Fri",11939
1994,3,12,"Sat",9087
1994,3,13,"Sun",8248
1994,3,14,"Mon",11092
1994,3,15,"Tues",12298
1994,3,16,"Wed",11865
1994,3,17,"Thurs",11976
1994,3,18,"Fri",11799
1994,3,19,"Sat",8944
1994,3,20,"Sun",8243
1994,3,21,"Mon",11140
1994,3,22,"Tues",11964
1994,3,23,"Wed",11637
1994,3,24,"Thurs",11904
1994,3,25,"Fri",11568
1994,3,26,"Sat",8957
1994,3,27,"Sun",8189
1994,3,28,"Mon",11051
1994,3,29,"Tues",12154
1994,3,30,"Wed",11540
1994,3,31,"Thurs",11782
1994,4,1,"Fri",10630
1994,4,2,"Sat",8782
1994,4,3,"Sun",7530
1994,4,4,"Mon",10909
1994,4,5,"Tues",11876
1994,4,6,"Wed",11811
1994,4,7,"Thurs",11718
1994,4,8,"Fri",11532
1994,4,9,"Sat",8791
1994,4,10,"Sun",8183
1994,4,11,"Mon",11060
1994,4,12,"Tues",12146
1994,4,13,"Wed",11428
1994,4,14,"Thurs",11709
1994,4,15,"Fri",11753
1994,4,16,"Sat",8790
1994,4,17,"Sun",7867
1994,4,18,"Mon",11094
1994,4,19,"Tues",11966
