"year","births","baseline_births","pct_of_baseline"
1994,7192,11392.1111111111,0.631314067239513
1995,7027,10663.8888888889,0.658952852305288
1996,7092,10018.8888888889,0.707862925585006
1997,7055,10239.2222222222,0.689017177954055
1998,7020,11094.2222222222,0.632761797932858
1999,6674,11789.8888888889,0.566078277997154
2000,6719,11683.6666666667,0.575076317366124
2001,6603,10791.4444444444,0.611873603574848
2002,6774,10577.5555555556,0.640412613710372
2003,6744,10715.8888888889,0.629345831216366
2004,6259,12559.5555555556,0.498345659789801
2005,6224,12690,0.490464933018124
2006,6409,12340.8888888889,0.519330500234091
2007,6624,11515.3333333333,0.575233022636485
2008,6471,10971.2222222222,0.589815780678745
2009,6160,11595.7777777778,0.531227841551523
2010,6159,12436.7777777778,0.495224736668126
2011,5728,11906.5555555556,0.481079517352719
2012,6325,10415.4444444444,0.607271253160371
2013,6620,10526.2222222222,0.628905590271914
2014,6749,10375.8888888889,0.650450296092437
